,0
1887,440
1888,425
1889,411
1890,398
1891,385
1892,373
1893,364
1894,356
1895,346
1896,332
1897,314
1898,298
1899,292
1900,302
1901,325
1902,352
1903,368
1904,365
1905,343
1906,312
1907,283
1908,264
1909,255
1910,251
1911,247
1912,241
1913,238
1914,242
1915,256
1916,275
1917,288
1918,289
1919,274
1920,251
1921,231
1922,224
1923,233
1924,256
1925,282
1926,301
1927,307
1928,301
1929,286
1930,268
1931,251
1932,236
1933,224
1934,211
1935,198
1936,185
1937,173
1938,162
1939,153
1940,147
1941,148
1942,167
1943,220
1944,325
1945,496
1946,734
1947,1024
1948,1342
1949,1663
1950,1974
1951,2281
1952,2597
1953,2934
1954,3279
1955,3595
1956,3829
1957,3929
1958,3872
1959,3671
1960,3365
1961,3005
1962,2631
1963,2264
1964,1910
1965,1576
1966,1275
1967,1029
1968,856
1969,759
1970,719
1971,704
1972,683
1973,641
1974,581
1975,520
1976,471
1977,441
1978,426
1979,418
1980,411
1981,406
1982,402
1983,397
1984,383
1985,353
1986,308
1987,255
1988,211
1989,185
1990,179
1991,184
1992,189
1993,185
1994,174
1995,163
1996,156
1997,150
1998,139
1999,117
2000,88
2001,65
2002,60
2003,79
2004,112
2005,141
2006,152
2007,141
2008,117
2009,95
2010,83
2011,80
2012,77
2013,67
2014,54
2015,49
2016,61
2017,86
2018,110
2019,113
2020,90
2021,54
2022,29
2023,34
2024,69
2025,113
2026,139
2027,135
2028,110
2029,90
2030,97
2031,128
2032,158
2033,158
2034,118
2035,60
2036,24
2037,40
2038,104
2039,174
2040,197
2041,150
2042,62
2043,0
2044,30
2045,175
2046,389
2047,585
